prompt_id,user_id,model_id,category_id,prompt_length,token_count,response_time_ms,estimated_cost,satisfaction_rating,created_at,prompt_complexity,task_completed,response_quality
1,219,2,2,545,498,3219,0.003642,5,2024-02-14 14:43:34,Simple,True,Excellent
2,252,2,1,2689,2296,2062,0.019148,4,2024-06-13 15:13:22,Complex,False,Excellent
3,129,4,2,462,424,6021,0.002159,2,2024-08-09 07:25:54,Simple,True,Fair
4,133,1,6,528,632,922,0.006569,4,2024-12-07 03:54:18,Medium,True,Excellent
5,393,4,1,1116,1441,678,0.007738,4,2024-07-29 08:16:25,Medium,False,Good
6,57,1,7,374,469,2306,0.005119,5,2024-02-10 11:41:58,Simple,True,Excellent
7,204,1,4,1160,977,1048,0.010506,5,2024-11-26 21:03:28,Medium,True,Excellent
8,223,2,2,433,410,2716,0.003012,1,2024-04-07 19:47:57,Simple,False,Fair
9,147,1,2,973,1078,4899,0.011848,2,2024-08-21 00:28:21,Medium,True,Fair
10,150,4,2,1062,992,1573,0.004969,3,2024-09-21 22:59:09,Medium,True,Good
11,124,1,2,824,923,1351,0.00892,4,2024-03-04 06:36:59,Medium,True,Excellent
12,178,3,3,794,1139,500,0.007716,5,2024-06-22 20:12:45,Medium,True,Good
13,375,1,6,1237,1923,861,0.017416,5,2024-02-07 11:41:58,Medium,True,Excellent
14,122,1,1,236,315,1842,0.00331,5,2024-05-27 13:23:41,Simple,False,Excellent
15,412,2,2,935,814,1155,0.006822,5,2024-03-15 02:42:36,Medium,True,Excellent
16,97,4,1,315,392,1285,0.002086,1,2024-03-03 05:43:24,Simple,True,Fair
17,399,1,1,1984,1928,979,0.020652,5,2024-07-02 19:56:09,Medium,True,Excellent
18,163,2,6,1078,1757,2514,0.015004,5,2024-01-31 00:24:28,Medium,True,Excellent
19,318,4,1,1810,1556,1291,0.007405,4,2024-10-01 15:18:23,Medium,True,Good
20,370,1,1,490,642,2093,0.006376,3,2024-09-25 08:54:59,Medium,True,Good
21,163,2,7,534,463,2655,0.003619,3,2024-05-16 11:38:59,Simple,True,Good
22,458,2,1,595,600,2677,0.004339,3,2024-10-24 00:56:01,Medium,False,Good
23,236,4,2,211,351,3232,0.001663,3,2024-09-15 10:06:15,Simple,True,Good
24,316,5,2,1115,1260,1347,0.003616,2,2024-01-13 21:13:52,Medium,False,Fair
25,221,4,8,775,718,1948,0.003285,3,2024-12-14 23:37:38,Medium,True,Good
26,313,3,1,1137,1062,2893,0.008127,5,2024-09-29 09:15:03,Medium,True,Good
27,487,4,2,977,915,4155,0.004745,3,2024-12-10 06:00:30,Medium,True,Good
28,178,5,1,492,615,6410,0.00183,3,2024-12-11 02:08:29,Medium,True,Good
29,282,2,6,559,660,780,0.004912,5,2024-10-31 22:55:44,Medium,True,Excellent
