prompt_id,user_id,model_id,category_id,prompt_length,token_count,response_time_ms,estimated_cost,satisfaction_rating,created_at,prompt_complexity,task_completed,response_quality
1,100,5,8,4640,4000,2635,0.011433,5,2024-04-27 05:09:55,Complex,True,Good
2,12,1,3,934,1136,2446,0.012165,1,2024-01-17 21:12:19,Medium,False,Fair
3,46,2,1,570,949,1492,0.007023,5,2024-12-22 01:10:02,Medium,True,Excellent
4,94,4,3,336,332,2600,0.001758,4,2024-11-14 23:50:13,Simple,True,Good
5,94,5,4,112,146,2818,0.000429,5,2024-07-08 11:48:46,Simple,True,Good
6,39,4,4,981,871,1269,0.004377,2,2024-10-01 23:01:57,Medium,True,Fair
7,2,3,8,599,686,1146,0.00468,3,2024-07-05 09:33:23,Medium,True,Good
8,32,4,3,327,313,3206,0.00153,4,2024-07-29 05:15:16,Simple,True,Good
9,8,3,8,747,687,5926,0.005127,3,2024-10-31 13:23:25,Medium,True,Good
10,30,5,9,3952,3730,2724,0.011005,4,2024-09-26 18:39:18,Complex,True,Good
11,7,5,6,491,743,4995,0.002082,5,2024-02-19 00:40:47,Medium,True,Good
12,72,5,5,171,182,901,0.000587,5,2024-10-11 00:01:53,Simple,True,Good
13,89,2,2,374,547,2285,0.004428,5,2024-02-27 06:15:15,Medium,True,Excellent
14,62,3,8,480,676,2019,0.004435,4,2024-01-24 03:09:43,Medium,True,Good
15,22,1,6,997,1059,1888,0.00991,1,2024-01-15 13:11:53,Medium,False,Fair
16,20,2,5,1092,941,2203,0.007729,5,2024-06-08 00:14:47,Medium,True,Excellent
17,32,3,4,291,424,1150,0.003221,3,2024-11-27 12:17:10,Simple,False,Good
18,90,3,7,228,310,2418,0.002084,5,2024-06-12 23:38:31,Simple,True,Good
19,21,1,3,457,554,5659,0.005571,5,2024-03-11 03:21:41,Medium,True,Excellent
20,33,4,4,637,711,5990,0.00361,2,2024-12-15 18:20:53,Medium,True,Fair
21,88,1,7,234,300,2034,0.003071,4,2024-01-24 16:28:01,Simple,True,Excellent
22,91,5,6,175,271,1808,0.00076,5,2024-09-18 02:44:28,Simple,True,Good
23,40,2,1,1414,1234,1645,0.009647,5,2024-11-05 00:35:20,Medium,True,Excellent
24,83,4,9,599,588,2670,0.002782,4,2024-06-29 12:44:30,Medium,True,Good
25,98,3,4,3066,2720,1253,0.018357,4,2024-09-29 09:07:22,Complex,True,Good
26,5,4,6,220,354,1468,0.001619,3,2024-01-27 20:34:21,Simple,True,Good
27,8,4,2,551,667,1356,0.00315,5,2024-07-27 09:39:18,Medium,True,Good
28,26,5,3,807,889,3343,0.002543,5,2024-10-02 21:56:48,Medium,True,Good
29,19,5,6,193,314,5528,0.000882,4,2024-04-19 18:28:22,Simple,True,Good
30,48,2,6,231,272,2607,0.00218,5,2024-01-24 20:22:14,Simple,True,Excellent
31,4,3,5,943,788,6313,0.00518,5,2024-01-29 22:07:10,Medium,False,Good
32,88,1,5,362,462,2076,0.004411,3,2024-04-03 16:12:00,Simple,True,Good
33,90,5,1,584,969,3364,0.002984,4,2024-10-21 15:11:01,Medium,True,Good
34,13,4,7,489,588,5790,0.003204,4,2024-02-12 00:00:39,Medium,True,Good
35,34,5,5,261,297,1158,0.000931,4,2024-03-28 12:16:58,Simple,True,Good
36,63,1,3,446,686,1164,0.00726,5,2024-03-14 12:23:47,Medium,True,Excellent
37,96,4,7,147,228,4400,0.001063,3,2024-09-21 12:14:37,Simple,False,Good
