prompt_id,user_id,model_id,category_id,prompt_length,token_count,response_time_ms,estimated_cost,satisfaction_rating,created_at,prompt_complexity,task_completed,response_quality
1,179,3,8,208,262,4033,0.0018,1,2024-11-22 19:53:50,Simple,True,Fair
2,70,5,7,314,482,2524,0.001355,2,2024-10-30 08:57:43,Simple,True,Fair
3,130,2,7,576,519,1795,0.004396,2,2024-12-07 00:32:23,Medium,True,Fair
4,153,2,3,1075,1428,1761,0.012077,4,2024-10-30 23:17:54,Medium,True,Excellent
5,239,1,2,404,373,3716,0.004032,1,2024-11-16 21:46:56,Simple,True,Fair
6,110,1,5,1415,1541,1096,0.014107,5,2024-11-24 03:55:29,Medium,True,Excellent
7,10,2,7,1013,1242,4912,0.010042,5,2024-10-15 21:10:17,Medium,True,Excellent
8,200,3,7,832,1169,3429,0.008189,4,2024-12-13 05:01:38,Medium,False,Good
9,152,2,5,934,793,2592,0.006768,5,2024-10-26 06:53:51,Medium,True,Excellent
10,250,3,9,159,233,1013,0.001755,2,2024-12-20 20:31:49,Simple,True,Fair
11,40,3,3,444,470,2192,0.003109,3,2024-10-08 21:05:27,Simple,False,Good
12,81,5,6,198,297,2833,0.000811,4,2024-12-07 18:09:20,Simple,True,Good
13,261,1,8,482,614,2016,0.00561,3,2024-10-31 09:18:17,Medium,True,Good
14,289,4,3,484,424,1476,0.001917,4,2024-11-22 12:39:43,Simple,True,Good
15,284,4,7,847,846,1836,0.004238,3,2024-10-13 10:30:37,Medium,True,Good
16,250,1,2,538,530,1292,0.005437,1,2024-12-19 06:23:11,Medium,True,Fair
17,70,4,6,886,879,1531,0.004739,2,2024-11-27 10:10:07,Medium,False,Fair
18,218,1,9,408,556,2177,0.005318,5,2024-12-06 12:05:40,Medium,True,Excellent
19,182,2,6,2122,2069,1542,0.017853,5,2024-12-09 10:44:16,Complex,True,Excellent
20,62,2,8,1184,1109,3460,0.009374,3,2024-10-27 04:16:05,Medium,True,Good
21,279,1,6,492,440,1654,0.004103,4,2024-10-19 12:34:17,Simple,True,Excellent
22,242,5,1,1458,1882,3498,0.005816,4,2024-10-06 05:59:24,Medium,True,Good
23,81,1,4,491,453,2479,0.004975,3,2024-10-05 22:10:14,Simple,True,Good
24,160,1,8,2085,1882,1363,0.018862,4,2024-10-31 03:57:15,Medium,True,Excellent
25,156,5,1,511,448,832,0.001396,4,2024-10-08 09:27:46,Simple,False,Good
26,247,5,6,2085,2417,2082,0.007169,4,2024-10-11 06:32:52,Complex,True,Good
27,141,3,8,297,307,1811,0.002358,2,2024-10-31 14:56:09,Simple,True,Fair
28,246,4,7,323,439,1097,0.002373,4,2024-11-27 19:57:20,Simple,True,Good
